NO.;ID-Parque;Circunscripcion;Zona /Lote ;Nombre del Parque;Dirección;Enlace GoogleMap;Latitud;Longitud;Localidad o barrio;M2;Contenes;Aceras M2;Poblacion masculino;Poblacion Femenino;Poblacion Total;TIPO;Letrero-Principal;NORMAS GENERALES;RAMPA ACCESIBILIDAD;GAZEBO;CAPILLA;LUMINARIAS;BANCOS;MESA PICNIC;PAPELERAS;JUEGOS NIÑOS;MAQUINAS EJERCICIOS;LLAVE DE AGUA;TOMACORRIENTE;ARBOLADO EXISTENTE;NUEVAS ESPECIES ARBOLADO SEMBRADAS;SUPERFICIE AJARDINADA PERMEABLE;BANDERAS;REFLECTORES;Señalecticas;ESTATUAS;JARDINERAS;CANCHAS DEPORTIVAS;"CANCHAS
DEPORTIVAS SOCCER";TINACO;PARQUE CANINO;BAÑOS;PISTA DE BICICLETA;OFICINA;CONTENEDORES;CISTERNA;ALMACEN;MURALES;KARTING;MALLAS PERIMETRALES;BUHONEROS;NEGOCIOS;Fecha Inauguracion;DIA;MES;AÑO;ETAPAS;Circ.;Dif.;TIPO/ REMO;Condicion Actual;Fecha Ultimo Mantenimiento;Fecha Proximo Mantenimiento
1;ADN-P-1;C1;ZONA 06;PABELLON DE LAS NACIONES;AVE. JIMÉNEZ MOYA;https://goo.gl/maps/iTGxNPrLwzT8xAXf8;18.4468577;-69.9253714;CENTRO DE LOS HEROES;3854;452.69;905.38;30;35;65;Monumento;1;1;5;0;0;33;6;0;5;0;0;1;3;20;20;592.46;52;13;16;1;4;0;0;2;0;2;0;0;0;0;1;0;0;0;0;0;25/2/21;25;FEBRERO;2021;;1;1;Remozado;Optima condiciones;;
2;ADN-P-2;C1;ZONA 09;PARQUE ROSADO (PLAZA PELLERANO CASTRO);CALLE LAS DAMAS;https://goo.gl/maps/8aEZf1DgeVZY8Dsx5;18.4713273;-69.8836797;ZONA COLONIAL;1314.46;53.84;107.68;2489;3046;5535;Parque;1;0;2;0;0;6;7;0;4;3;0;0;0;13;13;0;0;3;24;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21/4/21;21;ABRIL;2021;;1;1;Remozado;Optima condiciones;;
3;ADN-P-3;C1;ZONA 09;PARQUE CERVANTES;PASEO PRESIDENTE BILLINI ESQ ESTRELLETA;https://goo.gl/maps/GfnxNJM35GLiVtPd8;18.4671281;-69.8916709;CIUDAD NUEVA;2448.63;222.75;445.5;1419;1553;2972;Parque;0;0;0;0;0;7;32;0;9;0;0;0;0;24;24;363.4;0;1;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14/4/21;14;ABRIL;2021;;1;1;Remozado;Optima condiciones;;
4;ADN-P-4;C1;ZONA 06;MONUMENTO A LOS MARTIRES DE LA PRENSA;AVE. GEORGE WASHINGTON ;https://goo.gl/maps/Zon9QGqw7dkYoGmw8;18.4471271;-69.9254917;CENTRO DE LOS HEROES;355;74.8;149.6;30;35;65;Monumento;2;0;1;1;0;3;4;0;0;0;0;0;0;6;6;18;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21/4/21;21;ABRIL;2021;;1;1;Remozado;Optima condiciones;;
5;ADN-P-5;C1;ZONA 06;BOULEVARD DE HONDURAS;AVE. INDEPENDECIA ANT. DE LLEGAR AVE. ITALIA ;https://goo.gl/maps/htdJnfz8BcjbSEBk8;18.4450102;-69.9362207;URBANIZACION HONDURAS;2187;860.12;1720.24;2347;2904;5251;Boulevard;2;0;8;0;0;23;15;0;9;0;0;0;0;60;60;900;0;0;22;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19/4/21;19;ABRIL;2021;;1;1;Nuevo;Optima condiciones;;
6;ADN-P-6;C1;ZONA 09;PARQUE FUERTE SAN JOSE;AVE. PRESIDENTE ANTONIO BILLINI;https://goo.gl/maps/hB4ZhvVFfMkwSfqL6;18.4691782;-69.8863648;ZONA COLONIAL;8788;508.17;1016.34;2489;3046;5535;Parque;2;0;0;0;0;56;9;0;5;0;0;0;0;10;10;125.1;0;0;0;3;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;20/4/21;20;ABRIL;2021;;1;1;Remozado;Optima condiciones;;
7;ADN-P-7;C1;ZONA 09;PARQUE SAN MIGUEL;CALLE JOSE REYES;https://goo.gl/maps/bBff5WMoSWS6Gt3r7;18.4761726;-69.890074;ZONA COLONIAL;1402;85.44;170.88;2489;3046;5535;Parque;1;0;1;0;0;9;18;0;4;0;0;0;0;7;7;90.1;1;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29/4/21;29;ABRIL;2021;;1;1;Remozado;Optima condiciones;;
8;ADN-P-8;C1;ZONA 06;PASEO DE LOS ROBLES AMARILLOS;AVE. JIMÉNEZ MOYA;https://goo.gl/maps/NXCZdWqTUTGf6BWg8;18.4476984;-69.9255562;CENTRO DE LOS HEROES;718;170.71;597.485;30;35;65;Parque;2;0;2;0;0;4;16;0;2;0;0;0;0;25;25;205.62;0;0;8;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19/4/21;19;ABRIL;2021;;1;1;Nuevo;Optima condiciones;;
9;ADN-P-9;C1;ZONA 09;PASEO PRESIDENTE BILLINI;CALLE PADRE BILLINI;https://goo.gl/maps/BnLKXTHGLGQBj3468;18.4715453;-69.8848076;ZONA COLONIAL;943.66;61.76;123.52;2489;3046;5535;Parque;1;0;2;0;0;0;15;0;3;0;0;0;0;6;6;0;0;4;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14/4/21;14;ABRIL;2021;;1;1;Remozado;Optima condiciones;;
10;ADN-P-10;C1;ZONA 09;PUERTA DE LA MISERICORDIA;CALLE ESTRELLETA;https://goo.gl/maps/XacrsvJzfVQiAn6b6;18.4683237;-69.8896769;CIUDAD NUEVA;1647.07;117.82;235.64;1419;1553;2972;Monumento;0;0;0;0;0;0;5;0;3;0;0;0;0;15;15;0;1;27;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7/5/21;7;MAYO;2021;;1;1;Remozado;Optima condiciones;;
11;ADN-P-11;C1;ZONA 09;PARQUE SAN LAZARO;CALLE SANTOME ESQ CALLE JUAN ISIDRO PEREZ;https://goo.gl/maps/AS8eWfVhemNFz4ui7;18.4742713;-69.8912811;SAN LAZARO;899.16;90.77;181.54;2489;3046;5535;Parque;3;0;1;0;0;13;12;0;4;0;0;0;0;11;13;35.1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14/5/21;14;MAYO;2021;;1;1;Remozado;Optima condiciones;;
12;ADN-P-12;C2;ZONA 01;PARQUE CRISANTEMOS;AVE LOS PROCERES PARALELAS CALLES CRISANTEMOS;https://maps.app.goo.gl/N8wNjRQDnRW3yXcr7;18,487906;-69,958176;JARDINEs DEL NORTE;8111.09;572.33;1144.66;6295;7445;13740;Parque;2;0;0;0;0;44;28;0;0;14;0;0;0;151;151;1394.3;0;1;40;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30/7/21;30;JULIO;2021;;2;1;Nuevo;Optima condiciones;;
13;ADN-P-13;C1;ZONA 07;PARQUE IBEROAMERICA;AVE. ALMA MATER ESQ. CESAR NICOLAS PENSON;https://goo.gl/maps/TvHREEZXiMt7E4Gw7;18.4670462;-69.9222689;LA ESPERILLA;115090;985.1;1970.2;3663;4458;8121;Parque;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21/10/21;21;OCTUBRE;2021;;1;1;Remozado;Optima condiciones;;
14;ADN-P-14;C3;ZONA 10;PARQUE LA ZURZA;AVE PASEO DE LOS REYES CATOLICOS;https://maps.app.goo.gl/rqyVGWnXHS7BF9KH9;18,505433;-69,914860;LA ZURZA;1047.65;190.78;381.56;10340;9864;20204;Parque;1;0;4;0;0;22;16;0;5;4;0;0;0;4;19;245.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6/8/21;6;AGOSTO;2021;;3;1;Remozado;Optima condiciones;;
15;ADN-P-15;C1;ZONA 03;PARQUE LOS PRADITOS;AVE. DR FERNANDO ALBERTO DEFILLO;https://goo.gl/maps/JsZnHCZsmghB2kaT9;18.4692681;-69.9521889;LOS PRADITOS;410;27.73;55.46;7227;7824;15051;Parque;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27/5/21;27;MAYO;2021;;1;1;Remozado;Optima condiciones;;
16;ADN-P-16;C1;ZONA 06;PARQUE COSTA BRAVA;CALLE AZUA;https://maps.app.goo.gl/TX7CqAmHfvoAyx348;18,4452500;-69,929804;COSTA BRAVA;745;90.47;180.94;4121;5095;9216;Parque;1;6;0;1;0;10;7;0;2;8;2;0;2;28;28;86.7;0;1;19;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;22/7/21;22;JULIO;2021;;1;1;Remozado;Optima condiciones;;
17;ADN-P-17;C2;ZONA 01;PARQUE BARRIO AZUL;CALLE SAN CRISTÓBAL ;https://goo.gl/maps/Ed3L653LdN6vVy9bA;18.4975045;-69.9628211;BARRIO AZUL;150;18.54;37.08;24591;26673;51264;Parque;1;1;1;1;0;13;3;3;3;4;0;1;1;32;32;200;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;7/7/21;7;JULIO;2021;;2;1;Remozado;Optima condiciones;;
18;ADN-P-18;C1;ZONA 10;PARQUE BRAULIO ALVAREZ;AVE. 27 DE FEBRERO ESQ TUNTI CACERES;https://goo.gl/maps/m1rJ9DdeLoTkSzs1A;18.4829351;-69.8984829;VILLA CONSUELO;4796.66;336.29;672.58;9169;9796;18965;Parque;2;0;6;1;0;39;44;0;13;17;0;0;0;108;110;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21/10/21;21;OCTUBRE;2021;;1;1;Remozado;Procceso de intervencion por mal uso;;
19;ADN-P-19;C1;ZONA 08;OBELISCO HEMBRA (MONUMENTO A LA INDEPENDENCIA FINANCIERA);AVE. GEORGE WASHINGTON ;https://goo.gl/maps/vvWS5E97bsJE8Chd9;18.4672731;-69.8898319;CIUDAD NUEVA;2456.41;62.95;125.9;1419;1553;2972;Monumento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7/5/21;7;MAYO;2021;;1;2;Remozado;Optima condiciones;;
20;ADN-P-20;C1;ZONA 06;PARQUE JUAN BOSCH;AVE. GEORGE WASHINGTON ;https://goo.gl/maps/Mab3LNfLiv5NywpY6;18.4679340;-69.8884835;ZONA COLONIAL;889;104.04;208.08;2489;3046;5535;Parque;0;0;1;0;0;1;7;0;2;0;0;0;0;26;26;40;1;4;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12/6/21;12;JUNIO;2021;;1;1;Remozado;Optima condiciones;;
21;ADN-P-21;C3;ZONA 10;PARQUE JOSE RAMON  SANCHEZ (ZURZA II );CALLE 38;https://goo.gl/maps/PzxjB6Vb1MLZdb8E6;18.5017829;-69.91493;LA ZURZA;254.1;33.44;66.88;10340;9864;20204;Parque;0;0;0;0;0;0;6;0;0;3;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6/8/21;6;AGOSTO;2021;;3;1;Nuevo;Optima condiciones;;
22;ADN-P-22;C1;ZONA 08;PLAZA DEL HOMENAJE (PARQUE SAN MARTIN);AVE. LEOPOLDO NAVARRO;https://goo.gl/maps/UzH4ufm12VqBCXtJ7;18.4816163;-69.9072282;MIRAFLORES;1034;370.07;740.14;757;907;1664;Plaza;0;0;0;0;0;0;8;0;0;0;0;0;0;25;29;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8/7/21;8;JULIO;2021;;1;1;Remozado;Optima condiciones;;
23;ADN-P-23;C1;ZONA 08;PLAZA DEL HOMENAJE (PARQUE MAURICIO BAEZ);AVE. LEOPOLDO NAVARRO;https://goo.gl/maps/UzH4ufm12VqBCXtJ7;18.4816163;-69.9072282;MIRAFLORES;5361;164.97;329.94;757;907;1664;Plaza;1;0;0;0;0;0;0;0;13;22;0;0;0;29;34;152.2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8/7/21;8;JULIO;2021;;1;1;Remozado;Optima condiciones;;
24;ADN-P-24;C1;ZONA 07;PARQUE GALICIA;JOSE CONTRERAS ESQ ABRAHAM LINCOLN;https://maps.app.goo.gl/gZGFmZtCD7kHphPU9;18,457919;-69.925850;LA JULIA;1280;165.84;331.68;2703;3203;5906;Parque;1;0;5;0;0;23;11;0;9;0;0;0;0;18;18;0;5;0;0;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10/6/21;10;JUNIO;2021;;1;1;Remozado;Optima condiciones;;
